date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:55	41378/41378	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-a1a2%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/modals.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/modals.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:27:55	44022/44022	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-abf6%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/progress.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/progress.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:27:56	39652/39652	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-9ae4%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/pagination.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/pagination.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:27:56	58416/58416	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-e430%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/tabs.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/tabs.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:27:56	49725/49725	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-c23d%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/typography.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/typography.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:27:56	38621/38621	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-96dd%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/tooltips.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/tooltips.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:27:57	50837/50837	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-c695%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/dragula.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/dragula.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:27:57	33663/33663	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-837f%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/clipboard.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/clipboard.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:27:57	34023/34023	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-84e7%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/context-menu.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/context-menu.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:27:57	40602/40602	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-9e9a%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/slider.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/slider.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
