date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:41:37	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226758a043-239b%22	https://themewagon.github.io/robots.txt		(from )
23:41:37	38572/38572	---M-Z	200	added ('OK')	text/html	etag:W/%22639edff4-96ac%22	https://themewagon.github.io/insure/	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/index.html	(from )
23:41:37	10753/10753	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22639edff4-2a01%22	https://themewagon.github.io/insure/img/favicon.ico	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/img/favicon.ico	(from https://themewagon.github.io/insure/)
23:41:45	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	C:/Users/DELL/Documents/template%20projet/template_assurance/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://themewagon.github.io/insure/)
23:41:45	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/Users/DELL/Documents/template%20projet/template_assurance/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://themewagon.github.io/insure/)
23:41:45	16953/16953	---M-Z	200	added ('OK')	text/css	etag:W/%22639edff4-4239%22	https://themewagon.github.io/insure/lib/animate/animate.min.css	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/lib/animate/animate.min.css	(from https://themewagon.github.io/insure/)
23:41:47	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%22639edff4-b78%22	https://themewagon.github.io/insure/lib/owlcarousel/assets/owl.carousel.min.css	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/lib/owlcarousel/assets/owl.carousel.min.css	(from https://themewagon.github.io/insure/)
23:41:49	8651/8651	---M-Z	200	added ('OK')	text/css	etag:W/%22639edff4-21cb%22	https://themewagon.github.io/insure/css/style.css	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/css/style.css	(from https://themewagon.github.io/insure/)
23:41:49	164174/164174	---M-Z	200	added ('OK')	text/css	etag:W/%22639edff4-2814e%22	https://themewagon.github.io/insure/css/bootstrap.min.css	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/css/bootstrap.min.css	(from https://themewagon.github.io/insure/)
23:41:50	38572/38572	---M-Z	200	added ('OK')	text/html	etag:W/%22639edff4-96ac%22	https://themewagon.github.io/insure/index.html	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/index-2.html	(from https://themewagon.github.io/insure/)
23:41:50	3288/3288	---M--	200	added ('OK')	image/png	etag:%22639edff4-cd8%22	https://themewagon.github.io/insure/img/icon/icon-02-primary.png	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/img/icon/icon-02-primary.png	(from https://themewagon.github.io/insure/)
23:41:51	20069/20069	---M-Z	200	added ('OK')	text/html	etag:W/%22639edff4-4e65%22	https://themewagon.github.io/insure/about.html	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/about.html	(from https://themewagon.github.io/insure/)
23:41:52	15543/15543	---M-Z	200	added ('OK')	text/html	etag:W/%22639edff4-3cb7%22	https://themewagon.github.io/insure/service.html	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/service.html	(from https://themewagon.github.io/insure/)
23:41:52	13476/13476	---M-Z	200	added ('OK')	text/html	etag:W/%22639edff4-34a4%22	https://themewagon.github.io/insure/feature.html	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/feature.html	(from https://themewagon.github.io/insure/)
23:41:53	13861/13861	---M-Z	200	added ('OK')	text/html	etag:W/%22639edff4-3625%22	https://themewagon.github.io/insure/appointment.html	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/appointment.html	(from https://themewagon.github.io/insure/)
23:41:53	19750/19750	---M-Z	200	added ('OK')	text/html	etag:W/%22639edff4-4d26%22	https://themewagon.github.io/insure/team.html	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/team.html	(from https://themewagon.github.io/insure/)
23:41:53	13575/13575	---M-Z	200	added ('OK')	text/html	etag:W/%22639edff4-3507%22	https://themewagon.github.io/insure/testimonial.html	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/testimonial.html	(from https://themewagon.github.io/insure/)
23:41:55	10753/10753	---M-Z	200	added ('OK')	text/html	etag:W/%22639edff4-2a01%22	https://themewagon.github.io/insure/404.html	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/404.html	(from https://themewagon.github.io/insure/)
23:41:55	13477/13477	---M-Z	200	added ('OK')	text/html	etag:W/%22639edff4-34a5%22	https://themewagon.github.io/insure/contact.html	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/contact.html	(from https://themewagon.github.io/insure/)
23:41:56	95522/95522	---M--	200	added ('OK')	image/jpeg	etag:%22639edff4-17522%22	https://themewagon.github.io/insure/img/carousel-2.jpg	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/img/carousel-2.jpg	(from https://themewagon.github.io/insure/)
23:41:56	129604/129604	---M--	200	added ('OK')	image/jpeg	etag:%22639edff4-1fa44%22	https://themewagon.github.io/insure/img/carousel-1.jpg	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/img/carousel-1.jpg	(from https://themewagon.github.io/insure/)
23:41:56	2532/2532	---M--	200	added ('OK')	image/png	etag:%22639edff4-9e4%22	https://themewagon.github.io/insure/img/icon/icon-04-primary.png	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/img/icon/icon-04-primary.png	(from https://themewagon.github.io/insure/)
23:41:56	37810/37810	---M--	200	added ('OK')	image/jpeg	etag:%22639edff4-93b2%22	https://themewagon.github.io/insure/img/about.jpg	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/img/about.jpg	(from https://themewagon.github.io/insure/)
23:41:56	2270/2270	---M--	200	added ('OK')	image/png	etag:%22639edff4-8de%22	https://themewagon.github.io/insure/img/icon/icon-03-primary.png	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/img/icon/icon-03-primary.png	(from https://themewagon.github.io/insure/)
23:41:57	1982/1982	---M--	200	added ('OK')	image/jpeg	etag:%22639edff4-7be%22	https://themewagon.github.io/insure/img/profile.jpg	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/img/profile.jpg	(from https://themewagon.github.io/insure/)
23:41:57	2729/2729	---M--	200	added ('OK')	image/png	etag:%22639edff4-aa9%22	https://themewagon.github.io/insure/img/icon/icon-06-primary.png	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/img/icon/icon-06-primary.png	(from https://themewagon.github.io/insure/)
23:41:57	2783/2783	---M--	200	added ('OK')	image/png	etag:%22639edff4-adf%22	https://themewagon.github.io/insure/img/icon/icon-07-primary.png	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/img/icon/icon-07-primary.png	(from https://themewagon.github.io/insure/)
23:41:57	29514/29514	---M--	200	added ('OK')	image/jpeg	etag:%22639edff4-734a%22	https://themewagon.github.io/insure/img/feature.jpg	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/img/feature.jpg	(from https://themewagon.github.io/insure/)
23:41:58	3104/3104	---M--	200	added ('OK')	image/png	etag:%22639edff4-c20%22	https://themewagon.github.io/insure/img/icon/icon-10-light.png	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/img/icon/icon-10-light.png	(from https://themewagon.github.io/insure/)
23:41:58	2581/2581	---M--	200	added ('OK')	image/png	etag:%22639edff4-a15%22	https://themewagon.github.io/insure/img/icon/icon-01-light.png	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/img/icon/icon-01-light.png	(from https://themewagon.github.io/insure/)
23:41:58	2600/2600	---M--	200	added ('OK')	image/png	etag:%22639edff4-a28%22	https://themewagon.github.io/insure/img/icon/icon-05-light.png	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/img/icon/icon-05-light.png	(from https://themewagon.github.io/insure/)
23:41:58	2677/2677	---M--	200	added ('OK')	image/png	etag:%22639edff4-a75%22	https://themewagon.github.io/insure/img/icon/icon-08-light.png	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/img/icon/icon-08-light.png	(from https://themewagon.github.io/insure/)
23:41:59	2399/2399	---M--	200	added ('OK')	image/png	etag:%22639edff4-95f%22	https://themewagon.github.io/insure/img/icon/icon-07-light.png	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/img/icon/icon-07-light.png	(from https://themewagon.github.io/insure/)
23:41:59	2484/2484	---M--	200	added ('OK')	image/png	etag:%22639edff4-9b4%22	https://themewagon.github.io/insure/img/icon/icon-06-light.png	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/img/icon/icon-06-light.png	(from https://themewagon.github.io/insure/)
23:41:59	17782/17782	---M--	200	added ('OK')	image/jpeg	etag:%22639edff4-4576%22	https://themewagon.github.io/insure/img/team-1.jpg	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/img/team-1.jpg	(from https://themewagon.github.io/insure/)
23:41:59	17997/17997	---M--	200	added ('OK')	image/jpeg	etag:%22639edff4-464d%22	https://themewagon.github.io/insure/img/team-2.jpg	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/img/team-2.jpg	(from https://themewagon.github.io/insure/)
23:42:00	23780/23780	---M--	200	added ('OK')	image/jpeg	etag:%22639edff4-5ce4%22	https://themewagon.github.io/insure/img/team-3.jpg	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/img/team-3.jpg	(from https://themewagon.github.io/insure/)
23:42:00	14771/14771	---M--	200	added ('OK')	image/jpeg	etag:%22639edff4-39b3%22	https://themewagon.github.io/insure/img/team-4.jpg	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/img/team-4.jpg	(from https://themewagon.github.io/insure/)
23:42:00	3451/3451	---M--	200	added ('OK')	image/jpeg	etag:%22639edff4-d7b%22	https://themewagon.github.io/insure/img/testimonial-1.jpg	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/img/testimonial-1.jpg	(from https://themewagon.github.io/insure/)
23:42:00	3517/3517	---M--	200	added ('OK')	image/jpeg	etag:%22639edff4-dbd%22	https://themewagon.github.io/insure/img/testimonial-2.jpg	C:/Users/DELL/Documents/template%20projet/template_assurance/themewagon.github.io/insure/img/testimonial-2.jpg	(from https://themewagon.github.io/insure/)
